                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.250000       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -3.95175020010501e-03
 9.76354430695473e-01 -3.82098181060038e-04
 9.52646415760049e-01  2.34057662063106e-03
 9.28915854615608e-01  4.15797352580471e-03
 9.05196712825499e-01  5.14853256580028e-03
 8.81552337626065e-01  5.07935701778131e-03
 8.58046321336625e-01  3.97475939713563e-03
 8.34731995220956e-01  2.04589265982890e-03
 8.11656456409024e-01 -5.98057354320411e-04
 7.88872449989452e-01 -4.06969825551292e-03
 7.66426015618886e-01 -8.34676815744584e-03
 7.44346446384299e-01 -1.33060640056820e-02
 7.22644478014786e-01 -1.88158961981680e-02
 7.01324081993756e-01 -2.47611331946545e-02
 6.80386365562225e-01 -3.10445039525768e-02
 6.59821957592899e-01 -3.75549886529311e-02
 6.39615965004827e-01 -4.41834632198507e-02
 6.19750230398606e-01 -5.08243746756966e-02
 6.00210689910980e-01 -5.73930518305375e-02
 5.80982315118938e-01 -6.38065944303635e-02
 5.62054174933124e-01 -6.99959834938986e-02
 5.43419668550179e-01 -7.59056281232009e-02
 5.25074158211322e-01 -8.14839113282013e-02
 5.07019570223934e-01 -8.67012195738729e-02
 4.89256102288099e-01 -9.15168197076470e-02
 4.71787797312187e-01 -9.59028857200537e-02
 4.54623435057869e-01 -9.98469123625284e-02
 4.37776180221540e-01 -1.03361072808182e-01
 4.21255689221204e-01 -1.06441924898914e-01
 4.05074007426517e-01 -1.09119832104554e-01
 3.89241919635478e-01 -1.11706174289424e-01
 3.73767077312999e-01 -1.13850994262201e-01
 3.58659064839074e-01 -1.15589871423669e-01
 3.43924839521973e-01 -1.16950414421757e-01
 3.29571071062592e-01 -1.17964284202018e-01
 3.15600576217523e-01 -1.18645807433911e-01
 3.02017566615202e-01 -1.19039652758864e-01
 2.88823860506134e-01 -1.19132987678914e-01
 2.76019226295556e-01 -1.18979491791519e-01
 2.63604194347663e-01 -1.18586835006683e-01
 2.51576590468450e-01 -1.17976472845795e-01
 2.39933868841702e-01 -1.17168301471568e-01
 2.28673608324801e-01 -1.16172427777650e-01
 2.17792112672915e-01 -1.15001672024862e-01
 2.07283403829420e-01 -1.13679855039189e-01
 1.97144709276666e-01 -1.12207168923911e-01
 1.87367334279295e-01 -1.10620205789540e-01
 1.77947034386145e-01 -1.08867733895651e-01
 1.68876548606553e-01 -1.06881637298543e-01
 1.60148629894273e-01 -1.04790914244575e-01
 1.51755017738438e-01 -1.02612153746096e-01
 1.43687066915918e-01 -1.00356252852108e-01
 1.35938230272073e-01 -9.80300803748329e-02
 1.28500865265401e-01 -9.56432723139231e-02
 1.21365477116383e-01 -9.32080597175746e-02
 1.14523578803416e-01 -9.07332801977503e-02
 1.07967800992894e-01 -8.82250113283767e-02
 1.01687509868453e-01 -8.56971099700569e-02
 9.56737588122593e-02 -8.31576190220741e-02
 8.99203594951987e-02 -8.06067515141549e-02
 8.44186614628497e-02 -7.80508398142688e-02
 7.91581905756311e-02 -7.55012477822360e-02
 7.41325203676142e-02 -7.29588393964512e-02
 6.93350159507251e-02 -7.04253545701246e-02
 6.47572335618241e-02 -6.79053514577164e-02
 6.03887106313983e-02 -6.54082996956038e-02
 5.62228227132602e-02 -6.29362678943301e-02
 5.22536443618235e-02 -6.04897951571415e-02
 4.84737091173028e-02 -5.80723031969660e-02
 4.48771297087937e-02 -5.56837498278684e-02
 4.14588557167653e-02 -5.33235278789189e-02
 3.82112137012538e-02 -5.09954683501231e-02
 3.51304390154843e-02 -4.86975060875769e-02
 3.22109216180245e-02 -4.64297660938852e-02
 2.94428417778793e-02 -4.41998600795948e-02
 2.68234899492165e-02 -4.20051281501365e-02
 2.43464123942896e-02 -3.98482771027046e-02
 2.20043805062414e-02 -3.77308661105140e-02
 1.97942232980100e-02 -3.56519540614050e-02
 1.77249090942656e-02 -3.35963299297787e-02
 1.57914719586321e-02 -3.15668346651941e-02
 1.39839917608626e-02 -2.95663005838254e-02
 1.22970630353263e-02 -2.75997840408519e-02
 1.07380668532651e-02 -2.56599398054573e-02
 9.30455131556702e-03 -2.37507957303127e-02
 7.97646697402939e-03 -2.18812325911181e-02
 6.68952366252445e-03 -2.00986686028743e-02
 5.52120083815385e-03 -1.83373732101905e-02
 4.50297040048022e-03 -1.65864191719995e-02
 3.63345203818423e-03 -1.48549637432725e-02
 2.89011926838709e-03 -1.31556944069189e-02
 2.27729545433047e-03 -1.14936264793130e-02
 1.78250523082572e-03 -9.87639538008906e-03
 1.39555521093296e-03 -8.30694448944309e-03
 1.05715089440631e-03 -6.78841655492870e-03
 7.73138475422308e-04 -5.32568243646594e-03
 5.44731352980913e-04 -3.91677525723626e-03
 3.33897304241603e-04 -2.55826896527985e-03
 1.43396291767754e-04 -1.25218210102544e-03
 0.00000000000000e+00  0.00000000000000e+00
 1.33282217352889e-04  1.25274056034559e-03
 2.90182811941358e-04  2.55983732000607e-03
 4.61138137544599e-04  3.92100641032734e-03
 6.35503674480921e-04  5.33584989737407e-03
 8.43403171946424e-04  6.80829927038725e-03
 1.08775191791748e-03  8.33804234504776e-03
 1.37290608069707e-03  9.92407874537238e-03
 1.71891924440367e-03  1.15691063424172e-02
 2.16413467509714e-03  1.32663200830570e-02
 2.71801639377244e-03  1.50141148920213e-02
 3.35907306917934e-03  1.68154982441687e-02
 4.10368991440213e-03  1.86676609483053e-02
 4.97047234883595e-03  2.05614139081572e-02
 5.93437507488642e-03  2.25052951198366e-02
 6.99031924138868e-03  2.44953778895981e-02
 8.14465861279940e-03  2.65406849331200e-02
 9.43172238171940e-03  2.86178269783937e-02
 1.08473430095446e-02  3.07312815612913e-02
 1.23835519825687e-02  3.28866264446797e-02
 1.40283268890414e-02  3.50966592885933e-02
 1.58032152538434e-02  3.73475403406059e-02
 1.77075926977463e-02  3.96447678872797e-02
 1.97495452496462e-02  4.19818109419806e-02
 2.19288006523392e-02  4.43647740347469e-02
 2.42609806452705e-02  4.67785473482233e-02
 2.67512773443403e-02  4.92231657772404e-02
 2.94041290825656e-02  5.16952625698063e-02
 3.22281410676869e-02  5.41903645706995e-02
 3.52272909019064e-02  5.67076753447833e-02
 3.84001944309086e-02  5.92547403015510e-02
 4.17541451018163e-02  6.18284500086670e-02
 4.52987041168810e-02  6.44221615316381e-02
 4.90376834737944e-02  6.70369577552844e-02
 5.29799811589241e-02  6.96651894724518e-02
 5.71323917986470e-02  7.23028257650969e-02
 6.15009310313533e-02  7.49486481022677e-02
 6.60930537187251e-02  7.75981038151138e-02
 7.09126450336457e-02  8.02537038766382e-02
 7.59690909093607e-02  8.29068986890267e-02
 8.12704226777631e-02  8.55518834594165e-02
 8.68243188200166e-02  8.81833211002697e-02
 9.26378676816793e-02  9.07974981327146e-02
 9.87183348950186e-02  9.33902022139041e-02
 1.05074158959326e-01  9.59500696580556e-02
 1.11713430267520e-01  9.84691251650271e-02
 1.18643579491318e-01  1.00942370452138e-01
 1.25871922847677e-01  1.03365725921179e-01
 1.33405762403496e-01  1.05730180826128e-01
 1.41252701297277e-01  1.08029507811574e-01
 1.49420439561263e-01  1.10250142398210e-01
 1.57917494269421e-01  1.12373467887674e-01
 1.66749707914480e-01  1.14398384824612e-01
 1.75922982479405e-01  1.16331470439815e-01
 1.85443958765209e-01  1.18053591694436e-01
 1.95319405406560e-01  1.19603161912032e-01
 2.05555048076270e-01  1.21038845712606e-01
 2.16156213982511e-01  1.22343223250214e-01
 2.27127070967611e-01  1.23507633356812e-01
 2.38471084685571e-01  1.24519897224579e-01
 2.50192344324740e-01  1.25379607453773e-01
 2.62293995510200e-01  1.26067921646485e-01
 2.74778235218544e-01  1.26573560447022e-01
 2.87647009914585e-01  1.26875329180641e-01
 3.00901901827398e-01  1.26949125953766e-01
 3.14542835232431e-01  1.26801454681738e-01
 3.28569760760796e-01  1.26427336496685e-01
 3.42981664182765e-01  1.25757599599899e-01
 3.57777874076614e-01  1.24820627156149e-01
 3.72956041709157e-01  1.23674857420501e-01
 3.88515143658236e-01  1.22397739726318e-01
 4.04451877407494e-01  1.20874801516520e-01
 4.20764798579303e-01  1.19120398571520e-01
 4.37449502342599e-01  1.17126208136649e-01
 4.54502522624599e-01  1.14896728278719e-01
 4.71919445491202e-01  1.12436424600080e-01
 4.89695646957683e-01  1.09751661545295e-01
 5.07823666171302e-01  1.06835175072361e-01
 5.26300348145869e-01  1.03711749755107e-01
 5.45117458976827e-01  1.00380131720134e-01
 5.64268300372214e-01  9.68514997300306e-02
 5.83743143111609e-01  9.31258207428400e-02
 6.03533717754291e-01  8.92154272672936e-02
 6.23630303655278e-01  8.51299082362863e-02
 6.44021513828939e-01  8.08743610117601e-02
 6.64699935564836e-01  7.64781076912023e-02
 6.85653493001952e-01  7.19512157837582e-02
 7.06872664287680e-01  6.73201009497742e-02
 7.28343473591960e-01  6.25942626449740e-02
 7.50051337749403e-01  5.77845790649458e-02
 7.71986756806480e-01  5.29290653031196e-02
 7.94132857655151e-01  4.80358143162055e-02
 8.16474228808299e-01  4.31232718424160e-02
