------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
102         NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  9.200589733914487e-04  1.200000000000000e+01  5.800000000000002e+00        1
 1.364356435643565e+00  2.190891531858235e-05  1.044958704128264e-04  8.619977770047523e-03  1.199972652561948e+01  5.800007395664602e+00        2
 2.728712871287128e+00  4.105266461596016e-04  1.936671596420432e-03 -1.594993060296922e+00  1.199904556553488e+01  5.800027441863621e+00        3
 4.093069306930693e+00 -7.592986311350813e-02 -3.572919459770966e-01 -4.710210468841235e+00  1.199664335928037e+01  5.870282704117802e+00        4
 5.457425742574258e+00 -2.236607716261556e-01 -1.052901759629377e+00 -4.541877799774707e+00  1.199157129405535e+01  6.029702908684834e+00        5
 6.821782178217821e+00 -2.920104331833107e-01 -1.375414133558856e+00 -1.237188628117049e+00  1.198464699930887e+01  6.196131873781563e+00        6
 8.186138613861385e+00 -2.825773310271603e-01 -1.332107536455033e+00  4.221364246643672e-01  1.197293753855255e+01  6.346221648818196e+00        7
 9.550495049504953e+00 -2.719063577350266e-01 -1.283474401328602e+00  4.725984675117600e-01  1.195426079391224e+01  6.499159764950820e+00        8
 1.091485148514851e+01 -2.600700729149713e-01 -1.229615600812382e+00  5.060528835825960e-01  1.193018898721295e+01  6.633532493853401e+00        9
 1.227920792079208e+01 -2.478058903831118e-01 -1.174314812386688e+00  5.162315880193822e-01  1.189511830938918e+01  6.753705689075493e+00       10
 1.364356435643564e+01 -2.354848638111968e-01 -1.119215858418176e+00  5.159327964107739e-01  1.184857725993030e+01  6.859342430296164e+00       11
 1.500792079207920e+01 -2.232349106596030e-01 -1.064853983342110e+00  5.078501856712440e-01  1.178940394560538e+01  6.948018707638743e+00       12
 1.637227722772277e+01 -2.112988032547876e-01 -1.012719490574670e+00  4.960854483020382e-01  1.170942295976506e+01  7.025652934567608e+00       13
 1.773663366336634e+01 -1.996091244985218e-01 -9.622529752058212e-01  4.834491683236193e-01  1.160948482238823e+01  7.087053238243453e+00       14
 1.910099009900989e+01 -1.882747982425398e-01 -9.142691769378807e-01  4.689052894209634e-01  1.148091358674349e+01  7.137103089119521e+00       15
 2.046534653465346e+01 -1.772777481446557e-01 -8.689312205398324e-01  4.590219280253882e-01  1.131476386644894e+01  7.177202936470228e+00       16
 2.182970297029702e+01 -1.664141017789368e-01 -8.251184883572767e-01  4.522091024976379e-01  1.110868348251638e+01  7.198481283890212e+00       17
 2.319405940594059e+01 -1.557415024013028e-01 -7.841065514926486e-01  4.434351752136815e-01  1.083839542412000e+01  7.211847260484256e+00       18
 2.455841584158415e+01 -1.452957017688729e-01 -7.459332237691662e-01  4.473188727474108e-01  1.049812090806347e+01  7.219473803354941e+00       19
 2.592277227722772e+01 -1.344381467912640e-01 -7.100349530177293e-01  4.705469662527194e-01  1.003757461262786e+01  7.216862973931018e+00       20
 2.728712871287129e+01 -1.228861431440371e-01 -6.762973141377094e-01  4.530151586031275e-01  9.412689331735336e+00  7.203906754614956e+00       21
 2.865148514851485e+01 -1.128635138043613e-01 -6.446015468581155e-01  3.744137993572303e-01  8.799373756631407e+00  7.185107290867010e+00       22
 3.001584158415842e+01 -1.050548038933781e-01 -6.145259256254448e-01  2.921799678509688e-01  8.268181682214093e+00  7.158561449649507e+00       23
 3.138019801980198e+01 -9.894849614907614e-02 -5.858843784095847e-01  2.195200223239286e-01  7.785971299997528e+00  7.122490977649804e+00       24
 3.274455445544553e+01 -9.460018315134114e-02 -5.589526337151708e-01  1.481620488395341e-01  7.369226742384157e+00  7.081748515164238e+00       25
 3.410891089108912e+01 -9.189228288938574e-02 -5.334783707236975e-01  8.568170256230678e-02  7.011703110653595e+00  7.034584800218981e+00       26
 3.547326732673268e+01 -9.051959153602716e-02 -5.094205471865929e-01  3.344758368825376e-02  6.691680666504142e+00  6.981597136004235e+00       27
 3.683762376237625e+01 -9.029934100578915e-02 -4.867966370608927e-01 -1.563697008374427e-02  6.394820350459520e+00  6.924381793374351e+00       28
 3.820198019801980e+01 -9.126430260145590e-02 -4.654149216569098e-01 -6.267704206170215e-02  6.120421491282043e+00  6.861892652382574e+00       29
 3.956633663366336e+01 -9.328433603947262e-02 -4.452578269678806e-01 -1.074388716788208e-01  5.861231863483895e+00  6.795403108158231e+00       30
 4.093069306930692e+01 -9.638107843920782e-02 -4.262277951028963e-01 -1.530912395807929e-01  5.614394386266472e+00  6.725049888440756e+00       31
 4.229504950495048e+01 -1.005753013149545e-01 -4.082285005999677e-01 -1.974200595222720e-01  5.378504954747976e+00  6.650780516547142e+00       32
 4.365940594059404e+01 -1.057831948970253e-01 -3.912386168147827e-01 -2.422002689379876e-01  5.149090356664651e+00  6.573638897854230e+00       33
 4.502376237623761e+01 -1.121100605699328e-01 -3.751548967045222e-01 -2.889891648088479e-01  4.926061532509554e+00  6.493366129385814e+00       34
 4.638811881188119e+01 -1.195462524354017e-01 -3.599210211709067e-01 -3.353167187823157e-01  4.707783610824607e+00  6.410340837460812e+00       35
 4.775247524752476e+01 -1.280794361714264e-01 -3.455044064016941e-01 -3.838238567173967e-01  4.492068945137476e+00  6.325141075933026e+00       36
 4.911683168316831e+01 -1.378257360819332e-01 -3.318322362451824e-01 -4.339367332302876e-01  4.279071794605795e+00  6.237616685980378e+00       37
 5.048118811881188e+01 -1.487454859143144e-01 -3.188706830777490e-01 -4.849391319445322e-01  4.067392290274364e+00  6.148301384366776e+00       38
 5.184554455445544e+01 -1.609206981135043e-01 -3.065792801272243e-01 -5.393726028761492e-01  3.856405757958827e+00  6.057350819623165e+00       39
 5.320990099009901e+01 -1.744327396365223e-01 -2.949161054691726e-01 -5.946466366958875e-01  3.645983257795708e+00  5.964835906542294e+00       40
 5.457425742574257e+01 -1.892402500162346e-01 -2.838569551477242e-01 -6.519477650885690e-01  3.435162481514806e+00  5.871253839608545e+00       41
 5.593861386138614e+01 -2.054810975608880e-01 -2.733680460831509e-01 -7.129418125583324e-01  3.223853408654348e+00  5.776593867222896e+00       42
 5.730297029702969e+01 -2.231932447225013e-01 -2.634267804985526e-01 -7.749146382576209e-01  3.011865816488352e+00  5.681070232109999e+00       43
 5.866732673267327e+01 -2.423853006501877e-01 -2.540099280422611e-01 -8.401309731475011e-01  2.798721340367821e+00  5.585017666475257e+00       44
 6.003168316831682e+01 -2.632030686807963e-01 -2.450976635848462e-01 -9.081761869810135e-01  2.584421777846691e+00  5.488430698325076e+00       45
 6.139603960396039e+01 -2.856354021971609e-01 -2.366748950371932e-01 -9.778829454254043e-01  2.368862509350378e+00  5.391603705135455e+00       46
 6.276039603960395e+01 -3.097725064120476e-01 -2.287210354204880e-01 -1.052071731440057e+00  2.151887778873337e+00  5.294675380747009e+00       47
 6.412475247524755e+01 -3.357375280222830e-01 -2.212275698143011e-01 -1.128048878019975e+00  1.933530780596357e+00  5.197695348543326e+00       48
 6.548910891089108e+01 -3.634923905638064e-01 -2.141757133639309e-01 -1.206198557191948e+00  1.713802867322346e+00  5.100966254246750e+00       49
 6.685346534653463e+01 -3.931785200699479e-01 -2.075568350643484e-01 -1.289426121863805e+00  1.492660685907725e+00  5.004518028194774e+00       50
 6.821782178217821e+01 -4.248961570653419e-01 -2.013640080662515e-01 -1.375013982394071e+00  1.270201701462634e+00  4.908483043408129e+00       51
 6.958217821782178e+01 -4.586573082954553e-01 -1.955756612092527e-01 -1.463721463159500e+00  1.046515811731224e+00  4.813092272914609e+00       52
 7.094653465346533e+01 -4.945983445174271e-01 -1.901983919452449e-01 -1.555425646812518e+00  8.216129062822098e-01  4.718320371600188e+00       53
 7.231089108910892e+01 -5.327253934566177e-01 -1.852018019059058e-01 -1.649089958239505e+00  5.957379789517907e-01  4.624357859848772e+00       54
 7.367524752475246e+01 -5.731254501598501e-01 -1.805838160080353e-01 -1.748826106873563e+00  3.689997222488940e-01  4.531357298775117e+00       55
 7.503960396039601e+01 -6.160003468918812e-01 -1.763367543995238e-01 -1.851801832918770e+00  1.413843086770567e-01  4.439283355272569e+00       56
 7.640396039603958e+01 -6.613022035726539e-01 -1.725765185361547e-01 -1.955811847068908e+00 -8.673271674226221e-02  4.348349043846956e+00       57
 7.776831683168315e+01 -7.091278447724587e-01 -1.690516922274688e-01 -2.066409756262647e+00 -3.152237281853562e-01  4.258637716757629e+00       58
 7.913267326732671e+01 -7.596936843105712e-01 -1.657696349604418e-01 -2.180046222051875e+00 -5.440935240713698e-01  4.170108709814897e+00       59
 8.049702970297028e+01 -8.129275484943809e-01 -1.629925197387508e-01 -2.295066518462052e+00 -7.728640458254408e-01  4.082978128687010e+00       60
 8.186138613861385e+01 -8.689670548425967e-01 -1.604825242970258e-01 -2.417363337849756e+00 -1.001427739320769e+00  3.997281479382170e+00       61
 8.322574257425740e+01 -9.280203825824749e-01 -1.583063445836941e-01 -2.542355022228227e+00 -1.229757082455239e+00  3.912980635610446e+00       62
 8.459009900990097e+01 -9.900070449383798e-01 -1.564169254623686e-01 -2.669391535631740e+00 -1.457308618549714e+00  3.830274083729697e+00       63
 8.595445544554454e+01 -1.055104232094637e+00 -1.548316700036723e-01 -2.803925287542564e+00 -1.684023902112198e+00  3.749155702198559e+00       64
 8.731881188118810e+01 -1.123490758956360e+00 -1.535281596768083e-01 -2.940715952849051e+00 -1.909789981792061e+00  3.669602534024214e+00       65
 8.868316831683167e+01 -1.195094418794474e+00 -1.524908559235369e-01 -3.080859823030632e+00 -2.134026867267022e+00  3.591776738981997e+00       66
 9.004752475247524e+01 -1.270146086308656e+00 -1.517205093824912e-01 -3.228300201775523e+00 -2.356757698838617e+00  3.515630479104249e+00       67
 9.141188118811881e+01 -1.348760955581111e+00 -1.511856560198127e-01 -3.377268015062265e+00 -2.577720356610548e+00  3.441167223497491e+00       68
 9.277623762376237e+01 -1.430895432781585e+00 -1.508899958949087e-01 -3.531594376718805e+00 -2.796355406968310e+00  3.368498607831631e+00       69
