------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
59          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 -1.641581804872464e+00  1.200000000000000e+01  5.800000000000002e+00        1
 1.383029700000000e+00 -3.961977318481012e-02 -1.810532354948084e-01 -1.646756816441260e+00  1.191496238389006e+01  5.841899647296787e+00        1
 2.766059400000001e+00 -7.923954636962023e-02 -3.621064709896168e-01 -1.651931828010055e+00  1.182992476778012e+01  5.883799294593573e+00        2
 4.840569500000001e+00 -1.387127674478818e-01 -6.335788973740517e-01 -1.646293447714889e+00  1.170249072641866e+01  5.952149141815957e+00        2
 6.915079600000000e+00 -1.994331112162051e-01 -9.021701718745140e-01 -1.265501743422698e+00  1.157842348163796e+01  6.174510749392981e+00        2
 9.508268900000001e+00 -2.753350534397392e-01 -1.237915955473235e+00 -7.895026277282164e-01  1.142333633520961e+01  6.452468297779724e+00        3
 1.210145820000000e+01 -2.713296096258647e-01 -1.169517298784598e+00 -2.964653268743667e-01  1.127845083263566e+01  6.676644326131003e+00        4
 1.469457860000000e+01 -2.662061810583327e-01 -1.094324753436138e+00  1.273016382692103e-01  1.113485721283171e+01  6.888325411596534e+00        4
 1.728769900000000e+01 -2.600015266767999e-01 -1.007170765810178e+00  1.557514200297013e-01  1.099792025914138e+01  7.032478487966436e+00        5
 1.988088830000000e+01 -2.527213601500208e-01 -9.176197597482337e-01  1.895738567887622e-01  1.082802343162089e+01  7.144655191740848e+00        5
 2.247407760000000e+01 -2.430516143206401e-01 -8.227473731883265e-01  2.353334407617107e-01  1.058489301808734e+01  7.185767196985529e+00        6
 2.506719800000000e+01 -2.314251203698270e-01 -7.362476343206088e-01  2.670241008070344e-01  1.008680573557600e+01  7.205463103702836e+00        6
 2.766031840000000e+01 -2.176031138780706e-01 -6.591381209929131e-01  2.829325687208619e-01  9.302681793082552e+00  7.201134077603973e+00        7
 3.025350770000000e+01 -2.047317390617975e-01 -5.951625507274932e-01  2.662745475604200e-01  8.405316157826437e+00  7.154950522641036e+00        7
 3.284669700000000e+01 -1.924136672751668e-01 -5.388296642498395e-01  2.306686912651497e-01  7.442077216154692e+00  7.084415548090440e+00        8
 3.543981740000000e+01 -1.836037835024343e-01 -4.959723962210075e-01  2.053962468061281e-01  6.774052705097084e+00  6.984512007386156e+00        8
 3.803293780000000e+01 -1.757088725028798e-01 -4.566296504212916e-01  1.828188708299841e-01  6.183023767823016e+00  6.876947628569461e+00        9
 4.062612710000000e+01 -1.671798852297120e-01 -4.271372761061701e-01  1.949349888077049e-01  5.714516014601036e+00  6.741413633843925e+00       10
 4.321931640000000e+01 -1.584328516999411e-01 -3.987817319307778e-01  2.091705378058871e-01  5.255752722430027e+00  6.602156305528784e+00       10
 4.581243680000000e+01 -1.482426966638781e-01 -3.755234067035264e-01  2.268497011398480e-01  4.826553674582606e+00  6.444616068588779e+00       11
 4.840555720000000e+01 -1.376905525531441e-01 -3.525401954543732e-01  2.417330642586782e-01  4.403611640096941e+00  6.283365206610837e+00       11
 5.099867760000001e+01 -1.261882134102346e-01 -3.302791384180468e-01  2.492776548529869e-01  3.997093811281019e+00  6.112374223386089e+00       12
 5.359179800000000e+01 -1.147104484440511e-01 -3.076201173130869e-01  2.481127446222089e-01  3.598348317884947e+00  5.937830887522957e+00       12
 5.618491840000000e+01 -1.032643715816529e-01 -2.844479263530272e-01  2.357170383757296e-01  3.209625157044894e+00  5.758706835880728e+00       13
 5.877803880000000e+01 -9.301803211568288e-02 -2.622527474083584e-01  2.008616084683211e-01  2.819315760869277e+00  5.577537896918905e+00       13
 6.137102140000000e+01 -8.357966611974221e-02 -2.407162816617014e-01  1.508925299658567e-01  2.427959562048706e+00  5.395002366494213e+00       14
 6.396400400000000e+01 -7.892890115622823e-02 -2.224773855514031e-01  8.549691891071312e-02  2.020498335123515e+00  5.213001103561816e+00       14
 6.655691770000000e+01 -7.580155929792305e-02 -2.052881814451896e-01  1.519469381566152e-02  1.607923702459579e+00  5.031174667784594e+00       15
 6.914983140000000e+01 -7.763191973259551e-02 -1.921177991678965e-01 -8.915249187639035e-02  1.177423853453938e+00  4.852207458786838e+00       15
 7.174267620000001e+01 -8.089946101467728e-02 -1.796754895610368e-01 -2.011571181936217e-01  7.448457824919003e-01  4.673949802378814e+00       16
 7.433552100000000e+01 -9.563677637947146e-02 -1.715312475576579e-01 -3.666679096899719e-01  3.063149463969681e-01  4.500888450871656e+00       17
 7.692815910000000e+01 -1.140112635505263e-01 -1.640973519474188e-01 -5.426307068072348e-01 -1.321433395557736e-01  4.329790657845955e+00       17
 7.952079720000000e+01 -1.438210133934242e-01 -1.588940225726022e-01 -7.514854525713959e-01 -5.704834784653761e-01  4.164820934596473e+00       18
 8.211315970000001e+01 -1.815455414142285e-01 -1.548880736996401e-01 -9.837375152232102e-01 -1.007714094687025e+00  4.003421956167488e+00       18
 8.470552220000000e+01 -2.310342670949078e-01 -1.526603274244624e-01 -1.250785446498398e+00 -1.443365453080450e+00  3.847302205515601e+00       19
 8.729754020000001e+01 -2.944541229237376e-01 -1.516570163594083e-01 -1.554021703856700e+00 -1.872629835679673e+00  3.696639841835172e+00       19
 8.988955820000001e+01 -3.686836657520373e-01 -1.516031126445578e-01 -1.885352116229037e+00 -2.296985563220098e+00  3.550193980886101e+00       20
 9.248109390000002e+01 -4.648801174857640e-01 -1.524261700402350e-01 -2.267960734241472e+00 -2.709408522511255e+00  3.411082629199172e+00       20
 9.507262960000001e+01 -5.694513161045909e-01 -1.535833494771272e-01 -2.670130053068294e+00 -3.117315131274108e+00  3.274755374193683e+00       21
 9.766347630000001e+01 -7.062862431323758e-01 -1.553159251700320e-01 -3.140249719094147e+00 -3.507397112692498e+00  3.147477426467201e+00       21
 1.002543230000000e+02 -8.492942507674446e-01 -1.571285320708807e-01 -3.623056225610327e+00 -3.894084935075944e+00  3.021827411886608e+00       22
 1.028442051000000e+02 -1.033312384673217e+00 -1.590493167201127e-01 -4.185513078153665e+00 -4.257946340190464e+00  2.905712193470450e+00       23
 1.054340872000000e+02 -1.227721542221959e+00 -1.608566161928088e-01 -4.766831372383608e+00 -4.616157576074076e+00  2.791529387158063e+00       23
 1.080224535000000e+02 -1.461840965799921e+00 -1.622279210262727e-01 -5.420096728380368e+00 -4.952504639998788e+00  2.684819462790712e+00       24
 1.106108198000000e+02 -1.717251251566535e+00 -1.636450263690092e-01 -6.109697375033695e+00 -5.277560769523586e+00  2.580972368448639e+00       24
 1.131967746000000e+02 -2.009006288365001e+00 -1.651395074861104e-01 -6.861088117658668e+00 -5.582913573502661e+00  2.482141040515422e+00       25
 1.157827294000000e+02 -2.335704374347329e+00 -1.671765069752939e-01 -7.670986288306391e+00 -5.868995648800230e+00  2.386140134575495e+00       25
 1.183645502000000e+02 -2.693008242727287e+00 -1.696935376046992e-01 -8.531709458733353e+00 -6.137453584764285e+00  2.292814102657507e+00       26
 1.209463710000000e+02 -3.102253975639652e+00 -1.721543255962908e-01 -9.484597648752381e+00 -6.364313731239530e+00  2.198575842195388e+00       26
 1.235201994000000e+02 -3.533595346651640e+00 -1.745821989344005e-01 -1.047599020546926e+01 -6.571761660908195e+00  2.104219005898859e+00       27
 1.260940278000000e+02 -4.038536998183587e+00 -1.750758388827391e-01 -1.161222445959839e+01 -6.633852650115189e+00  1.993753249586030e+00       27
 1.286506312000000e+02 -4.553920469915189e+00 -1.751538845210129e-01 -1.276920614766255e+01 -6.668339996571158e+00  1.880533292428721e+00       28
 1.312072346000000e+02 -5.168960400197293e+00 -1.668536371813841e-01 -1.425755734093201e+01 -6.518667448213924e+00  1.690518864327654e+00       29
 1.332178744000000e+02 -5.652658326287209e+00 -1.603259107256883e-01 -1.542807058736087e+01 -6.400957527819357e+00  1.541082087503276e+00       29
 1.352285142000000e+02 -6.239586855167624e+00 -1.116591587309007e-01 -1.617413669770789e+01 -5.777640637286438e+00  1.048664404072712e+00       29
 1.358774833000000e+02 -6.430463314316148e+00 -9.536533190015876e-02 -1.640904223705541e+01 -5.569425685591161e+00  8.849601539799853e-01       30
 1.365264524000000e+02 -6.621339773464681e+00 -7.907150506941615e-02 -1.664394777640293e+01 -5.361210733895876e+00  7.212559038872514e-01       30
 1.371632262000000e+02 -6.808629319642689e+00 -6.308386863564228e-02 -1.687443901694330e+01 -5.156908516721257e+00  5.606279519436292e-01       30
 1.378000000000000e+02 -6.995918865820705e+00 -4.709623220186767e-02 -1.710493025748368e+01 -4.952606299546629e+00  4.000000000000000e-01       30
